ICD-10-PCS代碼,健保醫令碼
008M0ZZ,83028C
008M0ZZ,83029C
008M3ZZ,83028C
008M3ZZ,83029C
008M4ZZ,83028C
008M4ZZ,83029C
008N0ZZ,83028C
008N0ZZ,83029C
008N3ZZ,83028C
008N3ZZ,83029C
008N4ZZ,83028C
008N4ZZ,83029C
008Q0ZZ,67004B
008Q0ZZ,72011B
008Q0ZZ,72016B
008Q0ZZ,72028B
008Q0ZZ,72029B
008Q3ZZ,67004B
008Q3ZZ,72011B
008Q3ZZ,72016B
008Q3ZZ,72028B
008Q3ZZ,72029B
008Q4ZZ,67004B
008Q4ZZ,72011B
008Q4ZZ,72016B
008Q4ZZ,72028B
008Q4ZZ,72029B
008Q4ZZ,72049B
008R0ZZ,83028C
008R0ZZ,83029C
008R3ZZ,83028C
008R3ZZ,83029C
008R4ZZ,83028C
008R4ZZ,83029C
008S0ZZ,83028C
008S0ZZ,83029C
008S3ZZ,83028C
008S3ZZ,83029C
008S4ZZ,83028C
008S4ZZ,83029C
008W0ZZ,83020B
008W3ZZ,83020B
008W4ZZ,83020B
008X0ZZ,83020B
008X3ZZ,83020B
008X4ZZ,83020B
008Y0ZZ,83020B
008Y3ZZ,83020B
008Y4ZZ,83020B
009000Z,83039B
009000Z,83051B
009000Z,83082B
00900ZX,83010B
00900ZX,83051B
00900ZX,83081B
00900ZX,83082B
00900ZZ,83039B
00900ZZ,83051B
00900ZZ,83082B
009030Z,83039B
009030Z,83051B
009030Z,83082B
00903ZZ,83039B
00903ZZ,83051B
00903ZZ,83082B
009040Z,83039B
009040Z,83051B
009040Z,83082B
00904ZZ,83039B
00904ZZ,83051B
00904ZZ,83082B
009100Z,83013C
009100Z,83014C
009100Z,83036C
009100Z,83039B
009100Z,83051B
009100Z,83082B
00910ZX,83051B
00910ZX,83082B
00910ZZ,83013C
00910ZZ,83014C
00910ZZ,83036C
00910ZZ,83039B
00910ZZ,83051B
00910ZZ,83082B
009130Z,29001C
009130Z,29024B
009130Z,83051B
009130Z,83082B
00913ZZ,29001C
00913ZZ,29024B
00913ZZ,83051B
00913ZZ,83082B
009140Z,29001C
009140Z,29024B
009140Z,83051B
009140Z,83082B
00914ZZ,29001C
00914ZZ,29024B
00914ZZ,83051B
00914ZZ,83082B
009200Z,83013C
009200Z,83014C
009200Z,83036C
009200Z,83039B
009200Z,83051B
009200Z,83082B
00920ZX,83051B
00920ZX,83082B
00920ZZ,83013C
00920ZZ,83014C
00920ZZ,83036C
00920ZZ,83039B
00920ZZ,83051B
00920ZZ,83082B
009230Z,29001C
009230Z,29024B
009230Z,83051B
009230Z,83082B
00923ZZ,29001C
00923ZZ,29024B
00923ZZ,83051B
00923ZZ,83082B
009240Z,29001C
009240Z,29024B
009240Z,83051B
009240Z,83082B
00924ZZ,29001C
00924ZZ,29024B
00924ZZ,83051B
00924ZZ,83082B
009300Z,83015C
009300Z,83039B
009300Z,83051B
009300Z,83082B
00930ZX,83051B
00930ZX,83082B
00930ZZ,83015C
00930ZZ,83039B
00930ZZ,83051B
00930ZZ,83082B
009330Z,83015C
009330Z,83039B
009330Z,83051B
009330Z,83082B
00933ZZ,83015C
00933ZZ,83039B
00933ZZ,83051B
00933ZZ,83082B
009340Z,83015C
009340Z,83039B
009340Z,83051B
009340Z,83082B
00934ZZ,83015C
00934ZZ,83039B
00934ZZ,83051B
00934ZZ,83082B
009400Z,83013C
009400Z,83014C
009400Z,83036C
009400Z,83037C
009400Z,83038C
009400Z,83051B
009400Z,83082B
00940ZX,83051B
00940ZX,83082B
00940ZZ,83013C
00940ZZ,83014C
00940ZZ,83036C
00940ZZ,83037C
00940ZZ,83038C
00940ZZ,83051B
00940ZZ,83082B
009430Z,29001C
009430Z,29024B
009430Z,83051B
009430Z,83082B
00943ZZ,29001C
00943ZZ,29024B
00943ZZ,83051B
00943ZZ,83082B
009440Z,29001C
009440Z,29024B
009440Z,83051B
009440Z,83082B
00944ZZ,29001C
00944ZZ,29024B
00944ZZ,83051B
00944ZZ,83082B
009500Z,83013C
009500Z,83014C
009500Z,83036C
009500Z,83039B
009500Z,83051B
009500Z,83082B
00950ZX,83051B
00950ZX,83082B
00950ZZ,83013C
00950ZZ,83014C
00950ZZ,83036C
00950ZZ,83039B
00950ZZ,83051B
00950ZZ,83082B
009530Z,83051B
009530Z,83082B
00953ZZ,83051B
00953ZZ,83082B
009540Z,83051B
009540Z,83082B
00954ZZ,83051B
00954ZZ,83082B
009600Z,83015C
009600Z,83039B
009600Z,83051B
009600Z,83052C
009600Z,83082B
00960ZX,83010B
00960ZX,83051B
00960ZX,83081B
00960ZX,83082B
00960ZZ,83015C
00960ZZ,83039B
00960ZZ,83051B
00960ZZ,83082B
009630Z,83051B
009630Z,83052C
009630Z,83082B
00963ZZ,29001C
00963ZZ,29024B
00963ZZ,83051B
00963ZZ,83082B
009640Z,83051B
009640Z,83052C
009640Z,83082B
00964ZZ,29001C
00964ZZ,29024B
00964ZZ,83051B
00964ZZ,83082B
009700Z,83015C
009700Z,83039B
009700Z,83051B
009700Z,83082B
00970ZX,83010B
00970ZX,83051B
00970ZX,83081B
00970ZX,83082B
00970ZZ,83015C
00970ZZ,83039B
00970ZZ,83051B
00970ZZ,83082B
009730Z,83015C
009730Z,83039B
009730Z,83051B
009730Z,83082B
00973ZZ,83015C
00973ZZ,83039B
00973ZZ,83051B
00973ZZ,83082B
009740Z,83015C
009740Z,83039B
009740Z,83051B
009740Z,83082B
00974ZZ,83015C
00974ZZ,83039B
00974ZZ,83051B
00974ZZ,83082B
009800Z,83051B
009800Z,83082B
00980ZX,83010B
00980ZX,83051B
00980ZX,83081B
00980ZX,83082B
00980ZZ,83051B
00980ZZ,83082B
009830Z,83051B
009830Z,83082B
00983ZZ,83051B
00983ZZ,83082B
009840Z,83051B
009840Z,83082B
00984ZZ,83051B
00984ZZ,83082B
009900Z,83051B
009900Z,83082B
00990ZX,83010B
00990ZX,83051B
00990ZX,83081B
00990ZX,83082B
00990ZZ,83051B
00990ZZ,83082B
009930Z,83051B
009930Z,83082B
00993ZZ,83051B
00993ZZ,83082B
009940Z,83051B
009940Z,83082B
00994ZZ,83051B
00994ZZ,83082B
009A00Z,83051B
009A00Z,83082B
009A0ZX,83010B
009A0ZX,83051B
009A0ZX,83081B
009A0ZX,83082B
009A0ZZ,83051B
009A0ZZ,83082B
009A30Z,83051B
009A30Z,83082B
009A3ZZ,83051B
009A3ZZ,83082B
009A40Z,83051B
009A40Z,83082B
009A4ZZ,83051B
009A4ZZ,83082B
009B00Z,83015C
009B00Z,83039B
009B00Z,83051B
009B00Z,83082B
009B0ZX,83010B
009B0ZX,83051B
009B0ZX,83081B
009B0ZX,83082B
009B0ZZ,83015C
009B0ZZ,83039B
009B0ZZ,83051B
009B0ZZ,83082B
009B30Z,83015C
009B30Z,83039B
009B30Z,83051B
009B30Z,83082B
